"sample_id"	"PGS000163"	"PGS000164"	"PGS000165"	"PGS000166"	"PGS000167"	"PGS000168"	"PGS000169"	"PGS000170"	"PGS000171"	"PGS000172"	"PGS000173"	"PGS000174"	"PGS000175"	"PGS000176"	"PGS000177"	"PGS000178"	"PGS000179"	"PGS000180"	"PGS000181"	"PGS000182"	"PGS000183"	"PGS000184"	"PGS000185"	"PGS000186"	"PGS000187"	"PGS000188"	"PGS000189"	"PGS000190"	"PGS000191"
"GTEX-132NY"	0.1098293	0.6401854	-3.9345261	-3.6558898	-0.0499609	1.5728159	4.3709222	4.4350954	2.4807742	0.0526663	0.1730474	2.6083407	1.7087262	2.3862209	1.7296685	-0.2678462	0.5540773	-0.9612508	-0.257521	-0.8242006	0.00066590000000004	3.0057676	2.5812168	1.1015943	0.6933924	0.6589269	4.59154	4.7867245	-0.1454022
"GTEX-132Q8"	0.2732932	0.847405	-4.5996298	-4.0957539	0.2820814	1.6918793	4.5725716	4.5746642	3.134695	-0.0048019	0.2086879	2.8412776	1.7159983	2.3747187	2.2342718	0.8856608	1.100039	-0.9254907	-0.0306942999999999	-0.4763839	-0.0663454999999999	2.8326301	2.3334922	0.923525	1.0221429	0.8738263	4.3850648	4.3698684	-0.0564605999999999
"GTEX-132QS"	0.3243856	0.9277508	-3.6054452	-3.0278326	0.3336914	2.2155731	4.3486336	4.5086144	2.7508816	-0.2666812	-0.1557355	2.9720414	1.8374032	2.3474109	1.2347438	0.2916551	0.5597131	-1.1207901	-0.1735626	-0.783357	-0.1788741	3.1019802	1.8188029	1.3835842	0.6672851	1.1757843	4.3258467	4.3017336	-0.8200199
"GTEX-1339X"	0.3855105	0.9579327	-4.1291771	-3.583319	0.1882062	1.592623	3.9919311	4.3474844	2.3945484	-0.3321015	0.0703922	3.2687789	1.9367762	3.0644666	1.6623993	0.4995497	1.0946476	-0.3284569	0.5609749	-0.7667398	0.00347360000000006	2.4693484	2.9622484	0.4881971	0.1788557	0.8559661	4.3550383	4.4494674	-0.6718733
"GTEX-133LE"	0.3953804	1.1376202	-4.5413147	-4.0292621	0.2014656	1.8482667	4.249461	4.4125778	2.6963378	0.0748818	0.261393	2.9148549	2.0586658	2.6490496	1.2654218	-0.0848828	1.3265904	-0.5809366	0.0278596000000001	-1.0273746	-0.1982696	2.6570678	3.0141648	0.6116611	0.3431524	0.2261522	4.450158	4.8053591	-0.8758653
"GTEX-1399Q"	0.1412643	0.9580469	-3.459532	-2.7797863	0.0403264999999999	1.8200555	3.9697045	4.1978804	2.4531813	0.0644022	0.1027208	3.2355308	1.9948571	2.8856007	1.5605124	0.3291996	0.4339288	-0.4586662	0.4147432	-1.0427151	-0.1213735	2.4672409	2.3154019	0.9855349	0.0444177	0.8624789	4.3929592	4.5820918	-0.8529073
"GTEX-1399R"	0.4815828	0.997308	-4.8799178	-4.07547	-0.02906	1.764002	4.7050989	5.029322	3.0189621	-0.0917519	0.1873198	3.6859613	1.9598689	3.4826501	1.2060515	0.2804592	0.8261506	-0.0869756000000001	1.0264872	-0.9449678	-0.2974442	2.4704885	2.3909674	0.5725024	-0.1574535	0.7346255	4.4380125	4.8700303	-0.5062083
"GTEX-1399S"	0.3651989	0.9308606	-3.5107728	-3.2116813	0.0956506999999999	1.6789228	4.2444589	4.4506887	2.7302026	-0.2053328	0.3596029	2.5299571	2.0181864	2.3819688	1.3125865	0.2510834	0.6431077	-0.4841297	0.2984014	-0.9718783	-0.2462399	2.5761195	2.873146	1.1808359	-0.0797827	1.1263924	4.542056	4.8515816	-0.7623515
"GTEX-1399T"	0.0763046	0.8767675	-3.7221027	-2.9364773	0.00328259999999997	1.9246875	4.1126846	4.6247951	2.5331621	-0.4048778	4.89999999999692e-06	2.8165494	1.7245215	3.0036428	1.1335429	0.3286782	0.4492417	-0.253936	0.7833425	-0.8853182	-0.0816470999999999	2.3143393	1.9881604	0.7801942	0.5550206	0.8336071	4.3404493	4.8228143	-1.1174652
"GTEX-1399U"	0.2295942	0.7965469	-3.9347751	-3.120277	0.0478572999999999	1.3319602	4.5134186	4.8172524	2.776834	-0.0062621	-0.1239755	3.1401241	1.7864919	2.7219313	1.6815662	0.4565657	0.2934491	-0.5319445	0.1166921	-0.965769	-0.2399467	3.0037472	2.0830105	1.4548865	0.3736216	0.6616677	4.4490232	4.7943576	-0.6801223
